"Date","Open","High","Low","Close","Volume"
"07/24/2025","145.82","146.47","143.98","144.51","9,749,426"
"07/23/2025","145.86","147.0301","145.09","145.66","6,165,951"
"07/22/2025","141.23","146.4","141.23","146.04","8,281,528"
"07/21/2025","143.105","143.59","140.456","141.7","9,025,630"
"07/18/2025","146.265","146.35","142.94","143.24","13,752,830"
"07/17/2025","141.7","145.96","141.64","145.44","26,161,000"
"07/16/2025","133.95","135.51","133.75","135.35","10,941,630"
"07/15/2025","135.43","135.51","133.75","133.81","8,933,520"
"07/14/2025","134.75","135.88","133.86","135.57","8,480,302"
"07/11/2025","134.835","135.39","133.81","135.26","7,963,646"
"07/10/2025","134.43","136.6757","133.63","136.08","8,870,905"
"07/09/2025","134.9","135.38","132.96","134.48","7,762,618"
"07/08/2025","133.41","135.6718","133.28","135.04","7,718,265"
"07/07/2025","135.53","135.72","133.675","134.45","7,773,744"
"07/03/2025","136.695","136.83","135.235","135.38","4,941,378"
"07/02/2025","135.25","137","134.88","136.48","9,388,667"
"07/01/2025","132.59","136.39","132.47","135.26","12,846,690"
"06/30/2025","131.195","132.36","130.59","132.04","11,402,440"
"06/27/2025","128.29","131.339","128.11","131.04","26,536,480"
"06/26/2025","127.71","129.16","127.6","128.22","11,538,070"
"06/25/2025","130.26","130.5922","127.63","128.02","10,922,570"
"06/24/2025","129.14","131.21","129.05","131.05","9,226,773"
"06/23/2025","129.29","129.5","127.82","129.09","12,840,360"
"06/20/2025","129.53","130.42","128.9","129.07","23,000,970"
"06/18/2025","129.63","129.675","128.59","129.07","8,785,766"
"06/17/2025","131.16","131.6899","129.13","129.29","10,235,230"
"06/16/2025","131.31","132.09","130.2284","131.41","11,183,690"
"06/13/2025","131.755","133.06","130.59","130.85","9,581,034"
"06/12/2025","129.89","132.33","129.71","132.3","11,444,910"
"06/11/2025","131.94","131.97","129.79","129.9","9,168,356"
"06/10/2025","130.2","132.12","129.46","131.83","11,852,870"
"06/09/2025","129.83","130.65","129.18","129.96","8,453,146"
"06/06/2025","130.245","130.665","129.34","130.03","7,628,224"
"06/05/2025","131.2","131.41","130.21","131.11","9,566,619"
"06/04/2025","132.235","132.74","131.095","131.74","6,519,728"
"06/03/2025","130.63","132.21","129.81","131.85","7,339,524"
"06/02/2025","130.9","131.03","129.07","130.91","6,723,720"
"05/30/2025","132.145","132.7199","131.29","131.45","12,992,080"
"05/29/2025","130.86","132.07","130.25","131.92","6,659,069"
"05/28/2025","131.29","132.19","130.47","130.67","9,431,450"
"05/27/2025","130.08","131.46","129.128","131.37","13,974,760"
"05/23/2025","129.56","129.755","127.75","129.34","8,122,494"
